Time,Red_Signal
06:00:10.805398,433
06:00:10.821403,440
06:00:10.837544,446
06:00:10.837918,462
06:00:10.853159,488
06:00:10.853159,517
06:00:10.869161,538
06:00:10.885681,569
06:00:10.885681,586
06:00:10.901211,606
06:00:10.917505,614
06:00:10.917505,619
06:00:10.933034,617
06:00:10.949553,608
06:00:10.949553,591
06:00:10.965691,587
06:00:10.966049,579
06:00:10.981680,581
06:00:10.997787,577
06:00:10.998014,574
06:00:11.013264,569
06:00:11.029687,558
06:00:11.029977,542
06:00:11.045680,542
06:00:11.045680,535
06:00:11.061684,539
06:00:11.077854,535
06:00:11.077854,535
06:00:11.093614,531
06:00:11.109539,523
06:00:11.109539,511
06:00:11.125542,509
06:00:11.125900,506
06:00:11.141537,512
06:00:11.157394,511
06:00:11.157394,517
06:00:11.173405,518
06:00:11.189424,513
06:00:11.189824,505
06:00:11.205447,507
06:00:11.205447,508
06:00:11.221545,516
06:00:11.237528,517
06:00:11.237528,520
06:00:11.253244,516
06:00:11.268927,507
06:00:11.269926,497
06:00:11.285442,492
06:00:11.285943,475
06:00:11.300950,464
06:00:11.316955,451
06:00:11.317956,446
06:00:11.332964,444
06:00:11.348969,448
06:00:11.348969,456
06:00:11.364978,481
06:00:11.365973,507
06:00:11.381491,534
06:00:11.397312,549
06:00:11.397776,558
06:00:11.412792,558
06:00:11.429531,549
06:00:11.429937,532
06:00:11.445273,524
06:00:11.445972,516
06:00:11.461832,512
06:00:11.477671,506
06:00:11.478014,503
06:00:11.493566,499
06:00:11.509677,489
06:00:11.509677,474
06:00:11.525678,467
06:00:11.525678,464
06:00:11.541680,466
06:00:11.557061,466
06:00:11.558068,466
06:00:11.573583,465
06:00:11.589536,457
06:00:11.589536,442
06:00:11.605041,438
06:00:11.605041,438
06:00:11.621617,438
06:00:11.637508,438
06:00:11.637868,439
06:00:11.652876,440
06:00:11.669395,434
06:00:11.669395,422
06:00:11.685391,420
06:00:11.685772,420
06:00:11.701540,423
06:00:11.717176,424
06:00:11.717176,428
06:00:11.733152,429
06:00:11.749677,423
06:00:11.749677,418
06:00:11.765484,422
06:00:11.765484,432
06:00:11.780997,435
06:00:11.797518,430
06:00:11.798019,424
06:00:11.813034,419
06:00:11.829039,419
06:00:11.830040,424
06:00:11.845046,434
06:00:11.846045,451
06:00:11.861050,475
06:00:11.877056,507
06:00:11.877056,535
06:00:11.893577,557
06:00:11.909493,566
06:00:11.909493,568
06:00:11.925530,573
06:00:11.941528,578
06:00:11.941528,581
06:00:11.957519,582
06:00:11.957927,583
06:00:11.973365,579
06:00:11.989389,569
06:00:11.989894,555
06:00:12.005536,553
06:00:12.021649,550
06:00:12.021990,553
06:00:12.037180,552
06:00:12.038123,553
06:00:12.053029,552
06:00:12.069674,543
06:00:12.069674,531
06:00:12.085672,531
06:00:12.101364,530
06:00:12.101364,536
06:00:12.117364,537
06:00:12.117364,543
06:00:12.133031,542
06:00:12.149529,533
06:00:12.149888,522
06:00:12.165535,523
06:00:12.181535,521
06:00:12.181535,524
06:00:12.197508,522
06:00:12.198012,524
06:00:12.213375,520
06:00:12.229537,508
06:00:12.229537,493
06:00:12.245670,490
06:00:12.261488,486
06:00:12.261488,487
06:00:12.277673,484
06:00:12.277673,476
06:00:12.293691,459
06:00:12.308993,437
06:00:12.308993,422
06:00:12.324999,410
06:00:12.341007,408
06:00:12.342005,409
06:00:12.357012,419
06:00:12.358010,442
06:00:12.373017,467
06:00:12.389533,480
06:00:12.390032,488
06:00:12.405522,497
06:00:12.421549,508
06:00:12.421549,509
06:00:12.437512,510
06:00:12.437914,506
06:00:12.453231,501
06:00:12.469533,480
06:00:12.469890,465
06:00:12.485532,454
06:00:12.501564,453
06:00:12.501564,445
06:00:12.517510,445
06:00:12.517510,442
06:00:12.533569,443
06:00:12.549666,428
06:00:12.549666,421
06:00:12.565626,418
06:00:12.581053,423
06:00:12.582047,423
06:00:12.597635,428
06:00:12.598028,427
06:00:12.613592,428
06:00:12.629644,417
06:00:12.629644,413
06:00:12.645665,412
06:00:12.661625,420
06:00:12.661625,420
06:00:12.676737,426
06:00:12.677684,427
06:00:12.693549,430
06:00:12.709503,418
